Scaffold ID	Scaffold SMILES	Cluster ID	Score
SCAFFA73	O=C(CNC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)NCC(=O)N1CCCC1	3	1.0
SCAFFA74	O=C(NC1CC2CCCC(C1)N2)c1n[nH]c2ccccc12	336	1.0
SCAFFA75	O=C(CCCN1CCC(c2ccccc2)CC1)c1ccccc1	1	1.0
SCAFFA76	O=S1(=O)NCNc2ccccc21	60	1.46753247
SCAFFA77	O=C1C=C2CC[C@H]3[C@@H]4CCCC4CC[C@@H]3C2CC1	11	1.58441558
SCAFFA78	c1ccc(Oc2ccc(-c3nn([C@@H]4CCCNC4)c4ncncc34)cc2)cc1	119	1.0
SCAFFA79	O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccc(CN2CCNCC2)cc1	85	1.0
SCAFFA80	O=C(NN1CCc2ccccc21)c1ccccc1	4	1.0
SCAFFA81	O=C1N(Cc2ccc(-c3ccccc3-c3nnn[nH]3)cc2)C=NC12CCCC2	115	1.0
SCAFFA82	O=C1CCCCCCC2O[C@H]2C[C@@H](C=Cc2cscn2)NC(=O)CCC1	335	1.0
SCAFFA83	O=C(c1ccccc1)c1ccccc1	4	1.23376623
SCAFFA84	O=C(c1ccccc1)c1ccc2n1CCC2	118	1.0
SCAFFA85	c1ccc(-c2cncnn2)cc1	16	1.0
SCAFFA86	c1ccc(C[SH+]c2nc3ccccc3[nH]2)nc1	67	1.35064935
SCAFFA87	c1ccc(COc2ccc(Nc3ncnc4ccc(-c5ccco5)cc34)cc2)cc1	19	1.0
SCAFFA88	c1ccc(C(c2ccccc2)n2cncn2)cc1	58	1.0
SCAFFA89	O=C(CNC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1)NCC(=O)N1CCCC1	3	1.0
SCAFFA90	O=C1CNC(=O)[C@@H]2CSSC[C@@H]3NC(=O)CCSSC[C@H](NC(=O)[C@H](CSSC[C@@H](C(=O)NCCc4ccccc4)NC(=O)CN1)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC3=O)C(=O)NCC(=O)N1CCC[C@H]1C(=O)NCC(=O)N2	3	1.0
SCAFFA91	O=C(CCc1cnc[nH]1)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)NCC(=O)NCCc1c[nH]c2ccccc12	3	1.0
SCAFFA92	O=C(CNCCCc1ccccc1)N1CCCC1	2	1.0
SCAFFA93	O=C1CN=C(c2ccccc2)c2ccccc2N1	32	1.7012987
SCAFFA94	c1ccc(-c2nnn[nH]2)c(-c2ccc(Cn3ccnc3)cc2)c1	115	1.0
SCAFFA95	O=C1C[C@H]2CCCO[C@@H]2C1	31	1.0
SCAFFA96	O=C(N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@H](n1cnnc1)C2)c1ccccc1)C1CCCCC1	117	1.0
SCAFFA97	c1ccc(NCc2cnc3ncncc3n2)cc1	42	1.0
SCAFFA98	O=C1CCC2[C@H]3Cc4cccc5c4[C@@]2(CC[NH+]3CC2CC2)[C@H]1O5	25	1.0
SCAFFA99	c1ccc(CC2CCCCN2)cc1	18	1.0
SCAFFA100	c1ccc(C2CC2)cc1	1	1.11688312
SCAFFA101	c1ccc2c(c1)Cc1cccnc1N1CCNCC21	334	1.0
SCAFFA102	c1ccc(Cc2ccccc2)cc1	2	2.05194805
SCAFFA103	c1ccc2ccccc2c1	29	1.23376623
SCAFFA104	O=C(OCCNCc1ccccc1)C1=CNC=CC1c1ccccc1	116	1.0
SCAFFA105	c1cncc([C@@H]2CCCN2)c1	162	1.0
SCAFFA106	c1ccc2c(c1)N=C(N1CCNCC1)c1ccsc1N2	80	1.0
SCAFFA107	O=C1c2c([nH]c3ccccc23)CCC1Cn1ccnc1	176	1.0
SCAFFA108	O=C1CCC2[C@H]3Cc4cccc5c4[C@@]2(CCN3)[C@H]1O5	25	1.23376623
SCAFFA109	O=C1CC(=O)N(c2ccccc2)N1c1ccccc1	28	1.11688312
SCAFFA110	O=C1CNC(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)CCSSC[C@@H](C(=O)N2CCCC2)NC(=O)CN1	3	1.0
SCAFFA111	O=C(C[C@@H](NC(=O)c1ccccc1)c1ccccc1)O[C@@H]1C=C2CC(=O)C3CC[C@H]4OCC4[C@H]3[C@H](OC(=O)c3ccccc3)C(C2)C1	178	1.0
SCAFFA112	c1ccc(Nc2nccc(Nc3ccc4c[nH]nc4c3)n2)cc1	27	1.0
SCAFFA113	O=c1c(-c2ccccc2)cc(-c2ccccn2)cn1-c1ccccc1	333	1.0
SCAFFA114	O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1	332	1.0
SCAFFA115	O=C1C=CC2C(=C1)CC[C@H]1[C@@H]3CCCC3CC[C@H]21	11	1.35064935
SCAFFA116	c1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1S2	44	1.0
SCAFFA117	c1cc2c(c3c1CCC3)CCO2	135	1.0
SCAFFA118	c1ccoc1	331	1.0
SCAFFA119	O=C(Nc1ccccc1)Nc1ccc(Oc2ccncc2)cc1	4	1.11688312
SCAFFA120	c1ccncc1	7	1.7012987
SCAFFA121	O=c1c(CCN2CCC(c3noc4ccccc34)CC2)cnc2n1CCCC2	177	1.11688312
SCAFFA122	O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1cccs1	330	1.0
SCAFFA123	O=C(Nc1ccncc1)c1cccc(OCC2CC2)c1	329	1.0
SCAFFA124	c1ccc(-c2ccncn2)cc1	7	1.0
SCAFFA125	c1ccc(Cn2ccnn2)cc1	2	1.0
SCAFFA126	O=c1[nH]c(-c2cccc(S(=O)(=O)N3CCNCC3)c2)nc2cn[nH]c12	148	1.0
SCAFFA127	c1ccc(OCCNCCc2ccc3c(c2)CCN3)cc1	84	1.0
SCAFFA128	O=C1C=C2CC[C@@H]3[C@H](CCC4[C@H]3CC[C@@]43CCC(=O)O3)C2CC1	11	1.0
SCAFFA129	O=C1Nc2ccccc2/C1=C/c1ccc[nH]1	60	1.0
SCAFFA130	O=C(c1ccccc1-n1nccn1)N1CCCN(c2nc3ccccc3o2)CC1	88	1.0
SCAFFA131	O=C1NCC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@H]12	328	1.0
SCAFFA132	c1ccc(CCNCCOc2ccccc2)cc1	2	1.11688312
SCAFFA133	c1ccc(-c2ccc(Cn3cnc4ccc(-c5nc6ccccc6[nH]5)cc43)cc2)cc1	327	1.0
SCAFFA134	O=C(CCc1cnc[nH]1)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)NCC(=O)NCCc1ccccc1	3	1.0
SCAFFA135	O=c1[nH]c(=O)c2[nH]cnc2[nH]1	22	1.35064935
SCAFFA136	c1ccc2c(c1)Sc1ccccc1N2CCC1CCCCN1	18	1.11688312
SCAFFA137	c1ccc([C@@H]2C[C@H]2Nc2ncnc3c2nnn3C2CCCC2)cc1	326	1.0
SCAFFA138	c1nc(N[C@@H]2CCCNC2)c2cc[nH]c2n1	73	1.0
SCAFFA139	C1OC2OC[C@H]3OCO[C@H]3[C@@H]2O1	325	1.0
SCAFFA140	c1ccc(C2CCCCC2)cc1	1	1.0
SCAFFA141	C1CCCCC1	36	1.23376623
