Scaffold ID	Scaffold SMILES	Cluster ID	Score
SCAFFB85	C1CCC(C2(C3CCCCC3)CCCC2)CC1	90	1.0
SCAFFB86	C1CCC(C2CC3CCCCC3CC3CCCCC32)CC1	5	1.25
SCAFFB87	C1CC2CCC3CCCC3C2C1	5	1.08333333
SCAFFB88	C1CCC(CCCC2CCC(CC3CCCCC3)CC2)CC1	2	1.08333333
SCAFFB89	C1CCC2CC(CCC3CCC(C4CCC5CCCCC54)CC3)CCC2C1	1	1.08333333
SCAFFB90	C1CCC(C2CCC(C3CCC(CCCC4CCCC4)C3)CC2)CC1	1	1.0
SCAFFB91	C1CCC(CCC2CCCC(CCC3CC3)C2)CC1	1	1.0
SCAFFB92	C1CCC(CC2CCCC(C3CCC4CCCC4C3)C2)CC1	4	1.08333333
SCAFFB93	C(CCCC1CCC2CCCC2C1)CCC1CCCCC1	1	1.0
SCAFFB94	C1CCC2C(C1)CCC1C2CCC2C1CCC21CCCC1	65	1.0
SCAFFB95	C1CCC(CC2CCC3CCCCC32)C1	3	1.0
SCAFFB96	C1CC(CC2CCCCC2C2CCCC2)CCC(C2CC3CCCCC3C2)C1	6	1.0
SCAFFB97	C1CC2CCC(C3C4CCCCC4CC4C5CCCCC5CC43)CC2C1	89	1.0
SCAFFB98	C(CCCC1CCCCC1)CCC1CCCCC1	2	1.25
SCAFFB99	C1CCC(C2CCC(CC3CCC4CCC(C5CC6CCCCC6C5)CC43)CC2)CC1	12	1.0
SCAFFB100	C(CCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCCCCCCCCCCCC(CCCCCCCC1CCCCC1)CC1CCCC1)CC1CCC2CCCCC21)CCCCCCCCCCCCC(CCCCCCCCCCCCCCCCC1CCCC1)CC1CCCC1	3	1.0
SCAFFB101	C1CCC(CCC2C3CCCCC3CC3CCCCC32)CC1	1	1.08333333
SCAFFB102	C1CCC(C2CC2CC2CCCC3C(C4CCCC4)CCC23)CC1	43	1.0
SCAFFB103	C1CCC(CC2CCCC3CCCC32)CC1	4	1.08333333
SCAFFB104	C(CCCC1CCCC1)CCCC(CCC(CCCCCC(CCC(CCC1CCCC1)CC1CCCC1)CC1CCC2CCCCC21)CC1CCCCC1)CC1CCC2CCCCC21	3	1.0
SCAFFB105	C1CCC(C2CCCCC2C2CCCC2)CC1	5	1.0
SCAFFB106	C1CCC(CC2CCC3CCC(C4CCCCC4)CC32)CC1	12	1.0
SCAFFB107	C1CCC(CCC2CCCC(C3CCCCC3)C2)CC1	1	1.0
